shop_id,shop_url,shop_name,approval_status,first_seen_at,last_seen_at,raw_json,note
2663214,https://www.aliexpress.com/store/2663214,Wonderland Jewelry Store,PENDING,2025-08-18 11:24:06.612308,2025-08-18 11:51:45.793492,"{""shop_id"": ""2663214"", ""shop_url"": ""https://www.aliexpress.com/store/2663214"", ""shop_name"": ""Wonderland Jewelry Store""}",
1102771393,https://www.aliexpress.com/store/1102771393,Art Cabochons Store,PENDING,2025-08-18 11:24:06.622980,2025-08-18 11:51:45.804650,"{""shop_id"": ""1102771393"", ""shop_url"": ""https://www.aliexpress.com/store/1102771393"", ""shop_name"": ""Art Cabochons Store""}",
127805,https://www.aliexpress.com/store/127805,Juya Ougeen Factory Official Store,PENDING,2025-08-18 11:24:06.626170,2025-08-18 11:51:45.808286,"{""shop_id"": ""127805"", ""shop_url"": ""https://www.aliexpress.com/store/127805"", ""shop_name"": ""Juya Ougeen Factory Official Store""}",
1102531295,https://www.aliexpress.com/store/1102531295,Cicely Base Store,PENDING,2025-08-18 11:24:06.629116,2025-08-18 11:51:45.811774,"{""shop_id"": ""1102531295"", ""shop_url"": ""https://www.aliexpress.com/store/1102531295"", ""shop_name"": ""Cicely Base Store""}",
1103795023,https://www.aliexpress.com/store/1103795023,Galaxy Fashion Store,PENDING,2025-08-18 11:24:06.631403,2025-08-18 11:51:45.814933,"{""shop_id"": ""1103795023"", ""shop_url"": ""https://www.aliexpress.com/store/1103795023"", ""shop_name"": ""Galaxy Fashion Store""}",
1102057800,https://www.aliexpress.com/store/1102057800,Arricraft Real Gold Trendy Jewelry DIY Craft Store,PENDING,2025-08-18 11:24:06.633544,2025-08-18 11:51:45.817649,"{""shop_id"": ""1102057800"", ""shop_url"": ""https://www.aliexpress.com/store/1102057800"", ""shop_name"": ""Arricraft Real Gold Trendy Jewelry DIY Craft Store""}",
911520087,https://www.aliexpress.com/store/911520087,Nola Creative Designs Jewelry Store,PENDING,2025-08-18 11:24:06.635945,2025-08-18 11:51:45.820745,"{""shop_id"": ""911520087"", ""shop_url"": ""https://www.aliexpress.com/store/911520087"", ""shop_name"": ""Nola Creative Designs Jewelry Store""}",
5433095,https://www.aliexpress.com/store/5433095,AUSHIYA Official Store,PENDING,2025-08-18 11:24:06.639529,2025-08-18 11:51:45.824704,"{""shop_id"": ""5433095"", ""shop_url"": ""https://www.aliexpress.com/store/5433095"", ""shop_name"": ""AUSHIYA Official Store""}",
1104466053,https://www.aliexpress.com/store/1104466053,Jewelry Making Wholesale Store Store,PENDING,2025-08-18 11:24:06.641670,2025-08-18 11:51:45.827447,"{""shop_id"": ""1104466053"", ""shop_url"": ""https://www.aliexpress.com/store/1104466053"", ""shop_name"": ""Jewelry Making Wholesale Store Store""}",
900241281,https://www.aliexpress.com/store/900241281,PDD001 Store,PENDING,2025-08-18 11:24:06.643779,2025-08-18 11:51:45.829962,"{""shop_id"": ""900241281"", ""shop_url"": ""https://www.aliexpress.com/store/900241281"", ""shop_name"": ""PDD001 Store""}",
2186084,https://www.aliexpress.com/store/2186084,BestFinding,PENDING,2025-08-18 11:24:06.646512,2025-08-18 11:51:45.832624,"{""shop_id"": ""2186084"", ""shop_url"": ""https://www.aliexpress.com/store/2186084"", ""shop_name"": ""BestFinding""}",
1829005,https://www.aliexpress.com/store/1829005,Wadsfred Jewelry-Making Store,PENDING,2025-08-18 11:24:06.649003,2025-08-18 11:51:45.835023,"{""shop_id"": ""1829005"", ""shop_url"": ""https://www.aliexpress.com/store/1829005"", ""shop_name"": ""Wadsfred Jewelry-Making Store""}",
5702091,https://www.aliexpress.com/store/5702091,Cqhcyb Jewelry-Findings Official Store,PENDING,2025-08-18 11:24:06.651542,2025-08-18 11:51:45.837696,"{""shop_id"": ""5702091"", ""shop_url"": ""https://www.aliexpress.com/store/5702091"", ""shop_name"": ""Cqhcyb Jewelry-Findings Official Store""}",
910054,https://www.aliexpress.com/store/910054,Rosediy Official Store,PENDING,2025-08-18 11:24:06.653672,2025-08-18 11:51:45.840287,"{""shop_id"": ""910054"", ""shop_url"": ""https://www.aliexpress.com/store/910054"", ""shop_name"": ""Rosediy Official Store""}",
901818,https://www.aliexpress.com/store/901818,Xinyao Official Store,PENDING,2025-08-18 11:24:06.655857,2025-08-18 11:51:45.842721,"{""shop_id"": ""901818"", ""shop_url"": ""https://www.aliexpress.com/store/901818"", ""shop_name"": ""Xinyao Official Store""}",
1474114,https://www.aliexpress.com/store/1474114,DazzleLuxury Store,PENDING,2025-08-18 11:24:06.657987,2025-08-18 11:51:45.845097,"{""shop_id"": ""1474114"", ""shop_url"": ""https://www.aliexpress.com/store/1474114"", ""shop_name"": ""DazzleLuxury Store""}",
2802116,https://www.aliexpress.com/store/2802116,SUMOORL Official Store,PENDING,2025-08-18 11:24:06.661690,2025-08-18 11:51:45.849196,"{""shop_id"": ""2802116"", ""shop_url"": ""https://www.aliexpress.com/store/2802116"", ""shop_name"": ""SUMOORL Official Store""}",
605655,https://www.aliexpress.com/store/605655,Flourish Beads Store,PENDING,2025-08-18 11:24:06.664544,2025-08-18 11:51:45.852298,"{""shop_id"": ""605655"", ""shop_url"": ""https://www.aliexpress.com/store/605655"", ""shop_name"": ""Flourish Beads Store""}",
1100189213,https://www.aliexpress.com/store/1100189213,BXYOU Jewelry Store,PENDING,2025-08-18 11:24:06.667596,2025-08-18 11:51:45.855524,"{""shop_id"": ""1100189213"", ""shop_url"": ""https://www.aliexpress.com/store/1100189213"", ""shop_name"": ""BXYOU Jewelry Store""}",
912161502,https://www.aliexpress.com/store/912161502,BTOO Be The Only One Jewelry Findings Official Store,PENDING,2025-08-18 11:24:06.669880,2025-08-18 11:51:45.857806,"{""shop_id"": ""912161502"", ""shop_url"": ""https://www.aliexpress.com/store/912161502"", ""shop_name"": ""BTOO Be The Only One Jewelry Findings Official Store""}",
1102512325,https://www.aliexpress.com/store/1102512325,QIAO Glass Beads Beading Store,PENDING,2025-08-18 11:24:06.672519,2025-08-18 11:51:45.860431,"{""shop_id"": ""1102512325"", ""shop_url"": ""https://www.aliexpress.com/store/1102512325"", ""shop_name"": ""QIAO Glass Beads Beading Store""}",
5073467,https://www.aliexpress.com/store/5073467,nanshan Store,PENDING,2025-08-18 11:24:06.674636,2025-08-18 11:51:45.863059,"{""shop_id"": ""5073467"", ""shop_url"": ""https://www.aliexpress.com/store/5073467"", ""shop_name"": ""nanshan Store""}",
4296029,https://www.aliexpress.com/store/4296029,REGE DOLLE Store,PENDING,2025-08-18 11:24:06.678536,2025-08-18 11:51:45.866996,"{""shop_id"": ""4296029"", ""shop_url"": ""https://www.aliexpress.com/store/4296029"", ""shop_name"": ""REGE DOLLE Store""}",
4411133,https://www.aliexpress.com/store/4411133,Ym Store,BLACKLIST,2025-08-18 11:24:06.680764,2025-08-18 11:51:45.869198,"{""shop_id"": ""4411133"", ""shop_url"": ""https://www.aliexpress.com/store/4411133"", ""shop_name"": ""Ym Store""}",
900246055,https://www.aliexpress.com/store/900246055,Alisaya Official Store,PENDING,2025-08-18 11:24:06.683212,2025-08-18 11:51:45.871595,"{""shop_id"": ""900246055"", ""shop_url"": ""https://www.aliexpress.com/store/900246055"", ""shop_name"": ""Alisaya Official Store""}",
1103201506,https://www.aliexpress.com/store/1103201506,Dreamzeal Jewelry Store,PENDING,2025-08-18 11:24:06.685945,2025-08-18 11:51:45.874945,"{""shop_id"": ""1103201506"", ""shop_url"": ""https://www.aliexpress.com/store/1103201506"", ""shop_name"": ""Dreamzeal Jewelry Store""}",
2858043,https://www.aliexpress.com/store/2858043,MINGXUAN Official Store,PENDING,2025-08-18 11:24:06.690330,2025-08-18 11:51:45.879538,"{""shop_id"": ""2858043"", ""shop_url"": ""https://www.aliexpress.com/store/2858043"", ""shop_name"": ""MINGXUAN Official Store""}",
1103393073,https://www.aliexpress.com/store/1103393073,Yuku Jewelry Store,PENDING,2025-08-18 11:24:34.206311,2025-08-18 11:51:45.882629,"{""shop_id"": ""1103393073"", ""shop_url"": ""https://www.aliexpress.com/store/1103393073"", ""shop_name"": ""Yuku Jewelry Store""}",
1104339561,https://www.aliexpress.com/store/1104339561,Leyoor Official Store,WHITELIST,2025-08-18 11:24:34.209883,2025-08-18 11:51:45.885699,"{""shop_id"": ""1104339561"", ""shop_url"": ""https://www.aliexpress.com/store/1104339561"", ""shop_name"": ""Leyoor Official Store""}",
118994,https://www.aliexpress.com/store/118994,RS DiyJewelry Store,PENDING,2025-08-18 11:24:34.212687,2025-08-18 11:51:45.889203,"{""shop_id"": ""118994"", ""shop_url"": ""https://www.aliexpress.com/store/118994"", ""shop_name"": ""RS DiyJewelry Store""}",
5875353,https://www.aliexpress.com/store/5875353,AGCFABS Wholesale Store,PENDING,2025-08-18 11:24:34.214846,2025-08-18 11:51:45.891509,"{""shop_id"": ""5875353"", ""shop_url"": ""https://www.aliexpress.com/store/5875353"", ""shop_name"": ""AGCFABS Wholesale Store""}",
